ZIPCODE,ZC_LATITUDE,ZC_LONGITUDE,AUTONOMOUS_COMMUNITY,AUTONOMOUS_COMMUNITY_NK,PROVINCE
04716,36.8323,-2.838,Andalucia,AN,Almería
04715,36.8323,-2.838,Andalucia,AN,Almería
04713,36.8323,-2.838,Andalucia,AN,Almería
04712,36.8323,-2.838,Andalucia,AN,Almería
04711,36.8323,-2.838,Andalucia,AN,Almería
04710,36.8323,-2.838,Andalucia,AN,Almería
04700,36.8323,-2.838,Andalucia,AN,Almería
04694,37.4,-1.75,Andalucia,AN,Almería
04693,37.3833,-1.95,Andalucia,AN,Almería
04692,37.45,-2.0333,Andalucia,AN,Almería
04691,37.4667,-1.9208,Andalucia,AN,Almería
04690,37.3833,-1.95,Andalucia,AN,Almería
04662,37.3833,-1.95,Andalucia,AN,Almería
04661,37.35,-2.0167,Andalucia,AN,Almería
04660,37.35,-2.0667,Andalucia,AN,Almería
04650,37.3667,-1.9833,Andalucia,AN,Almería
04649,37.3949,-1.741,Andalucia,AN,Almería
04648,37.3333,-1.6833,Andalucia,AN,Almería
04647,37.3833,-1.75,Andalucia,AN,Almería
04640,37.4,-1.75,Andalucia,AN,Almería
04639,37.15,-1.8833,Andalucia,AN,Almería
04638,37.0667,-1.85,Andalucia,AN,Almería
04630,37.1833,-1.8167,Andalucia,AN,Almería
04629,37.25,-1.9333,Andalucia,AN,Almería
04628,37.2333,-1.9167,Andalucia,AN,Almería
04621,37.2433,-1.9133,Andalucia,AN,Almería
04620,37.25,-1.8667,Andalucia,AN,Almería
